"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","does not log info/debug when verbose is false","integrationLogger","Tue Oct 14 14:01:14 UTC 2025","passed","Tue Oct 14 14:01:14 UTC 2025","","","",""
"","0","should render nested properties","TemplateRenderer","Tue Oct 14 14:01:21 UTC 2025","passed","Tue Oct 14 14:01:21 UTC 2025","","Basic rendering","",""
"","2","removes leading and trailing underscores","safeString","Tue Oct 14 14:01:41 UTC 2025","passed","Tue Oct 14 14:01:41 UTC 2025","","","",""
"","1","GET returns empty sitemapindex if no sitemaps","GET","Tue Oct 14 14:01:25 UTC 2025","passed","Tue Oct 14 14:01:25 UTC 2025","","","",""
"","8","Editor with very long content","Editor component","Tue Oct 14 14:01:06 UTC 2025","passed","Tue Oct 14 14:01:06 UTC 2025","","","",""
"","0","should handle string with no underscores","String Utilities","Tue Oct 14 14:01:01 UTC 2025","passed","Tue Oct 14 14:01:01 UTC 2025","","convertUnderscoresToHyphens","",""
"","1","should throw if sample size is not a number","RouteSummaryRowSchema","Tue Oct 14 14:01:21 UTC 2025","passed","Tue Oct 14 14:01:21 UTC 2025","","","",""
"","1","throws on unexpected node type","loadChangelog","Tue Oct 14 14:01:20 UTC 2025","passed","Tue Oct 14 14:01:20 UTC 2025","","","",""
"","0","returns undefined if configPaths is empty","Watcher Utils","Tue Oct 14 14:01:31 UTC 2025","passed","Tue Oct 14 14:01:31 UTC 2025","","findConfig","",""
"","0","should return the correct message from cause","SDKCoreError","Tue Oct 14 14:01:40 UTC 2025","passed","Tue Oct 14 14:01:40 UTC 2025","","","",""
"","4","Renderer with complex markdown content","MDX Renderer component","Tue Oct 14 14:01:11 UTC 2025","passed","Tue Oct 14 14:01:11 UTC 2025","","","",""
"","0","should allow updating options after creation","TemplateEngine","Tue Oct 14 14:01:18 UTC 2025","passed","Tue Oct 14 14:01:18 UTC 2025","","Options management","",""
"","0","hides index if hideDefaultIndex is true","filterPagesByDraftAndIndex","Tue Oct 14 14:01:05 UTC 2025","passed","Tue Oct 14 14:01:05 UTC 2025","","","",""
"","3","Editor with special characters","Editor component","Tue Oct 14 14:01:06 UTC 2025","passed","Tue Oct 14 14:01:06 UTC 2025","","","",""
"","0","throws error for invalid blockElements type","WYSIWYG Types and Schema","Tue Oct 14 14:01:07 UTC 2025","passed","Tue Oct 14 14:01:07 UTC 2025","","WYSIWYGSchema","",""
"","1","should validate single sidebar page","DashboardPageSchema","Tue Oct 14 14:01:06 UTC 2025","passed","Tue Oct 14 14:01:06 UTC 2025","","","",""
"","3","getUserData returns logged out session if no token","User Module","Tue Oct 14 14:01:03 UTC 2025","passed","Tue Oct 14 14:01:03 UTC 2025","","","",""
"","2","should aggregate page views correctly for perRouteData","buildPageRouteDataObject","Tue Oct 14 14:01:24 UTC 2025","passed","Tue Oct 14 14:01:24 UTC 2025","","","",""
"","0","should default providers to {}","authConfigSchema","Tue Oct 14 14:01:24 UTC 2025","passed","Tue Oct 14 14:01:24 UTC 2025","","","",""
"","2","writes cache after fetching in dev mode","getLatestVersion","Tue Oct 14 14:01:13 UTC 2025","passed","Tue Oct 14 14:01:13 UTC 2025","","","",""
"","0","returns ""Visitor"" for ""visitor""","getLabelForPermissionLevel","Tue Oct 14 14:01:43 UTC 2025","passed","Tue Oct 14 14:01:43 UTC 2025","","","",""
"","0","returns undefined for string with only spaces","heroHelper tests","Tue Oct 14 14:01:20 UTC 2025","passed","Tue Oct 14 14:01:20 UTC 2025","","trimInput","",""
"","0","astroComponentVirtual exports components with custom names","VirtualModuleBuilder","Tue Oct 14 14:01:21 UTC 2025","passed","Tue Oct 14 14:01:21 UTC 2025","","","",""
"","1","should handle very large dimensions","cloudinaryImageService","Tue Oct 14 14:01:03 UTC 2025","passed","Tue Oct 14 14:01:03 UTC 2025","","edge cases","",""
"","0","should export NotificationSettingsDefaults","consts.ts","Tue Oct 14 14:01:07 UTC 2025","passed","Tue Oct 14 14:01:07 UTC 2025","","","",""
"","0","should return empty string for non-indented line","String Utilities","Tue Oct 14 14:01:01 UTC 2025","passed","Tue Oct 14 14:01:01 UTC 2025","","getIndent","",""
"","2","isUserAllowed returns true if user has required permission","User Module","Tue Oct 14 14:01:03 UTC 2025","passed","Tue Oct 14 14:01:03 UTC 2025","","","",""
"","3","validates sanitize options","WYSIWYG Types and Schema","Tue Oct 14 14:01:07 UTC 2025","passed","Tue Oct 14 14:01:07 UTC 2025","","WYSIWYGSchema","",""
"","11","skips cleaning if --no-clean-dist is passed","builder","Tue Oct 14 14:01:13 UTC 2025","passed","Tue Oct 14 14:01:13 UTC 2025","","","",""
"","11","should handle complex prop types","ComponentRegistry","Tue Oct 14 14:00:57 UTC 2025","passed","Tue Oct 14 14:00:57 UTC 2025","","registerComponentFromFile","",""
"","5","render component","Components Container tests","Tue Oct 14 14:01:12 UTC 2025","passed","Tue Oct 14 14:01:12 UTC 2025","ThemeManager component","Shared components","",""
"","1","getDefaultUserSession returns correct default session","User Utils","Tue Oct 14 14:01:21 UTC 2025","passed","Tue Oct 14 14:01:21 UTC 2025","","","",""
"","0","logs and throws error for default","throwMsg","Tue Oct 14 14:01:03 UTC 2025","passed","Tue Oct 14 14:01:03 UTC 2025","","","",""
"","1","creates renderer with custom components","renderReact","Tue Oct 14 14:01:05 UTC 2025","passed","Tue Oct 14 14:01:05 UTC 2025","","","",""
"","0","returns code point unchanged if not mapped or invalid","decode-codepoint","Tue Oct 14 14:01:32 UTC 2025","passed","Tue Oct 14 14:01:32 UTC 2025","","replaceCodePoint","",""
"","1","should generate sorted languageSelectorOptions","i18n/config","Tue Oct 14 14:01:39 UTC 2025","passed","Tue Oct 14 14:01:39 UTC 2025","","","",""
"","0","should reject array with non-numbers","WordPress API Schema","Tue Oct 14 14:00:59 UTC 2025","passed","Tue Oct 14 14:00:59 UTC 2025","","NumberArray","",""
"","11","should handle network requests simulation","tryCatch","Tue Oct 14 14:01:01 UTC 2025","passed","Tue Oct 14 14:01:01 UTC 2025","","real-world usage examples","",""
"","10","parses semver categories and changes","loadChangelog","Tue Oct 14 14:01:20 UTC 2025","passed","Tue Oct 14 14:01:20 UTC 2025","","","",""
"","2","Renderer handles code blocks with syntax highlighting","MarkDoc Renderer component","Tue Oct 14 14:01:03 UTC 2025","passed","Tue Oct 14 14:01:03 UTC 2025","","Edge cases","",""
"","1","should persist custom options to shared.htmlConfig","studiocmsHTML","Tue Oct 14 14:01:07 UTC 2025","passed","Tue Oct 14 14:01:07 UTC 2025","","plugin hooks","",""
"","5","renders links and emphasis","parseMarkdown","Tue Oct 14 14:01:41 UTC 2025","passed","Tue Oct 14 14:01:41 UTC 2025","","","",""
"","5","verifyUsernameInput returns error string for invalid username","User Module","Tue Oct 14 14:01:02 UTC 2025","passed","Tue Oct 14 14:01:02 UTC 2025","","","",""
"","0","should validate rendered protected data structure","WordPress API Schema","Tue Oct 14 14:00:59 UTC 2025","passed","Tue Oct 14 14:00:59 UTC 2025","","RenderedProtectData","",""
"","0","should validate empty number array","WordPress API Schema","Tue Oct 14 14:00:59 UTC 2025","passed","Tue Oct 14 14:00:59 UTC 2025","","NumberArray","",""
"","0","should handle function that returns null","tryCatch","Tue Oct 14 14:01:01 UTC 2025","passed","Tue Oct 14 14:01:01 UTC 2025","","edge cases","",""
"","11","should return original src when Cloudinary throws error","cloudinaryImageService","Tue Oct 14 14:01:03 UTC 2025","passed","Tue Oct 14 14:01:03 UTC 2025","","error handling","",""
"","3","should create a plugin with default options","studiocmsHTML","Tue Oct 14 14:01:07 UTC 2025","passed","Tue Oct 14 14:01:07 UTC 2025","","plugin creation","",""
"","0","should handle no indentation","String Utilities","Tue Oct 14 14:01:01 UTC 2025","passed","Tue Oct 14 14:01:01 UTC 2025","","dedent","",""
"","6","Renderer throws with no props","Renderer component","Tue Oct 14 14:01:43 UTC 2025","passed","Tue Oct 14 14:01:43 UTC 2025","","","",""
"","0","should create a config layer successfully","Scrypt Module","Tue Oct 14 14:01:00 UTC 2025","passed","Tue Oct 14 14:01:00 UTC 2025","","ScryptConfig","",""
"","0","createMockLogger delegates to console and supports fork","StudioCMSPluginTester","Tue Oct 14 14:01:18 UTC 2025","passed","Tue Oct 14 14:01:18 UTC 2025","","","",""
"","20","measures longer execution for slow callbacks","measureExecutionTime","Tue Oct 14 14:01:33 UTC 2025","passed","Tue Oct 14 14:01:33 UTC 2025","","","",""
"","2","should execute custom mailer functions","SMTP Service","Tue Oct 14 14:01:03 UTC 2025","passed","Tue Oct 14 14:01:03 UTC 2025","","Mailer function","",""
"","1","should handle minimal config","schema","Tue Oct 14 14:01:17 UTC 2025","passed","Tue Oct 14 14:01:17 UTC 2025","","StudioCMSDevAppsSchema","",""
"","2","replaces [...slug] with provided slug","getBlogRoute","Tue Oct 14 14:01:23 UTC 2025","passed","Tue Oct 14 14:01:23 UTC 2025","","","",""
"","0","should set correct endpoint path","@studiocms/auth0","Tue Oct 14 14:01:07 UTC 2025","passed","Tue Oct 14 14:01:07 UTC 2025","","OAuth provider configuration","",""
"","2","returns ""Administrator"" for ""admin""","getLabelForPermissionLevel","Tue Oct 14 14:01:43 UTC 2025","passed","Tue Oct 14 14:01:43 UTC 2025","","","",""
"","1","should validate a text input field","FieldSchema","Tue Oct 14 14:01:06 UTC 2025","passed","Tue Oct 14 14:01:06 UTC 2025","","","",""
"","1","should create config layer using static method","Scrypt Module","Tue Oct 14 14:01:01 UTC 2025","passed","Tue Oct 14 14:01:01 UTC 2025","","Scrypt.makeConfig static method","",""
"","2","merges general values without overwriting security/plugins","setLocals","Tue Oct 14 14:01:14 UTC 2025","passed","Tue Oct 14 14:01:14 UTC 2025","","","",""
"","0","returns NaN if no CLS values","webVitalsUtils","Tue Oct 14 14:01:00 UTC 2025","passed","Tue Oct 14 14:01:00 UTC 2025","","clsDataAverage","",""
"","1","should compile templates for reuse","TemplateEngine","Tue Oct 14 14:01:18 UTC 2025","passed","Tue Oct 14 14:01:18 UTC 2025","","Template compilation","",""
"","0","should handle components with props","transformHTML","Tue Oct 14 14:01:06 UTC 2025","passed","Tue Oct 14 14:01:06 UTC 2025","","","",""
"","0","returns trimmed hero if provided","heroHelper tests","Tue Oct 14 14:01:20 UTC 2025","passed","Tue Oct 14 14:01:20 UTC 2025","getHeroImage","trimInput","",""
"","0","constantTimeEqual returns false for different strings","Password Utils","Tue Oct 14 14:01:26 UTC 2025","passed","Tue Oct 14 14:01:26 UTC 2025","","","",""
"","1","fetches and updates cache if dev mode and cache is stale","getLatestVersion","Tue Oct 14 14:01:13 UTC 2025","passed","Tue Oct 14 14:01:13 UTC 2025","","","",""
"","4","should read and parse JSON file successfully","readJson","Tue Oct 14 14:01:25 UTC 2025","passed","Tue Oct 14 14:01:25 UTC 2025","","","",""
"","0","convertToSafeString returns empty string for empty input","utils/safeString","Tue Oct 14 14:01:40 UTC 2025","passed","Tue Oct 14 14:01:40 UTC 2025","","","",""
"","0","stripLeadingAndTrailingSlashes removes both","pathGenerators","Tue Oct 14 14:01:23 UTC 2025","passed","Tue Oct 14 14:01:23 UTC 2025","","","",""
"","10","logs message at specified logLevel when verbose is true","integrationLogger","Tue Oct 14 14:01:14 UTC 2025","passed","Tue Oct 14 14:01:14 UTC 2025","","","",""
"","1","should apply error middleware if provided","Api-Route Tests","Tue Oct 14 14:01:00 UTC 2025","passed","Tue Oct 14 14:01:00 UTC 2025","","withEffectAPI tests","",""
"","3","should create a plugin with correct metadata","@studiocms/auth0","Tue Oct 14 14:01:07 UTC 2025","passed","Tue Oct 14 14:01:07 UTC 2025","","plugin creation","",""
"","8","returns correct permission level for each user type","getUserPermissionLevel","Tue Oct 14 14:01:14 UTC 2025","passed","Tue Oct 14 14:01:14 UTC 2025","","","",""
"","2","returns false if path is undefined","Watcher Utils","Tue Oct 14 14:01:31 UTC 2025","passed","Tue Oct 14 14:01:31 UTC 2025","","exists","",""
"","3","should propagate errors from the handler","Api-Route Tests","Tue Oct 14 14:01:00 UTC 2025","passed","Tue Oct 14 14:01:00 UTC 2025","","withEffectAPI tests","",""
"","1","should work with complex real-world HTML","transformHTML","Tue Oct 14 14:01:06 UTC 2025","passed","Tue Oct 14 14:01:06 UTC 2025","","integration tests","",""
"","0","throws if CMS_ENCRYPTION_KEY is not valid base64","Config Helper","Tue Oct 14 14:01:04 UTC 2025","passed","Tue Oct 14 14:01:04 UTC 2025","","makePasswordModConfig","",""
"","0","should have correct plugin name","@studiocms/auth0","Tue Oct 14 14:01:07 UTC 2025","passed","Tue Oct 14 14:01:07 UTC 2025","","plugin structure","",""
"","0","should return an HTML string containing the provided link (URL object)","passwordReset template","Tue Oct 14 14:01:38 UTC 2025","passed","Tue Oct 14 14:01:38 UTC 2025","","","",""
"","4","should define baseServerTranslations with English translations","i18n/config","Tue Oct 14 14:01:39 UTC 2025","passed","Tue Oct 14 14:01:39 UTC 2025","","","",""
"","0","returns undefined for empty string","heroHelper tests","Tue Oct 14 14:01:20 UTC 2025","passed","Tue Oct 14 14:01:20 UTC 2025","","trimInput","",""
"","1","should set showOAuth to true if any provider is enabled","oAuthButtonProviders","Tue Oct 14 14:01:47 UTC 2025","passed","Tue Oct 14 14:01:47 UTC 2025","","","",""
"","1","runStudioCMSConfigHook collects config options","StudioCMSPluginTester","Tue Oct 14 14:01:18 UTC 2025","passed","Tue Oct 14 14:01:18 UTC 2025","","","",""
"","1","should detect if template has variables","TemplateEngine","Tue Oct 14 14:01:18 UTC 2025","passed","Tue Oct 14 14:01:18 UTC 2025","","Variable detection","",""
"","2","returns isValid=false for tampered signature","generateJwt & verifyJwt","Tue Oct 14 14:01:17 UTC 2025","passed","Tue Oct 14 14:01:17 UTC 2025","","","",""
"","1","CheckIfUnsafe.password returns true for a common password","CheckIfUnsafe Utils","Tue Oct 14 14:01:36 UTC 2025","passed","Tue Oct 14 14:01:36 UTC 2025","","","",""
"","0","should handle empty templates","TemplateEngine","Tue Oct 14 14:01:18 UTC 2025","passed","Tue Oct 14 14:01:18 UTC 2025","","Basic functionality","",""
"","1","should allow overriding features","StudioCMSOptionsSchema","Tue Oct 14 14:01:27 UTC 2025","passed","Tue Oct 14 14:01:27 UTC 2025","","","",""
"","3","should throw AstroError if url is malformed","getUrlParam","Tue Oct 14 14:01:29 UTC 2025","passed","Tue Oct 14 14:01:29 UTC 2025","","","",""
"","0","returns yellow for >0.25 and <=0.5","webVitalsUtils","Tue Oct 14 14:01:00 UTC 2025","passed","Tue Oct 14 14:01:00 UTC 2025","","clsTextColor","",""
"","0","returns replacement character for invalid code points","replaceCodePoint","Tue Oct 14 14:01:22 UTC 2025","passed","Tue Oct 14 14:01:22 UTC 2025","","","",""
"","3","renders markdown using StudioCMS processor by default","preRender","Tue Oct 14 14:01:24 UTC 2025","passed","Tue Oct 14 14:01:24 UTC 2025","","","",""
"","2","should return result and null error for successful sync function","tryCatch","Tue Oct 14 14:01:01 UTC 2025","passed","Tue Oct 14 14:01:01 UTC 2025","","with synchronous functions","",""
"","1","should define required environment variables","@studiocms/google","Tue Oct 14 14:01:08 UTC 2025","passed","Tue Oct 14 14:01:08 UTC 2025","","hooks","",""
"","3","getUserData returns logged out session if session invalid","User Module","Tue Oct 14 14:01:03 UTC 2025","passed","Tue Oct 14 14:01:03 UTC 2025","","","",""
"","0","trims site defaultOgImage before returning","heroHelper tests","Tue Oct 14 14:01:20 UTC 2025","passed","Tue Oct 14 14:01:20 UTC 2025","getHeroImage","trimInput","",""
"","1","generates a valid JWT and verifies it","generateJwt & verifyJwt","Tue Oct 14 14:01:17 UTC 2025","passed","Tue Oct 14 14:01:17 UTC 2025","","","",""
"","5","throws if host is not a string","validateHost","Tue Oct 14 14:01:03 UTC 2025","passed","Tue Oct 14 14:01:03 UTC 2025","","","",""
"","1","should export an array of valid images","validImages","Tue Oct 14 14:01:38 UTC 2025","passed","Tue Oct 14 14:01:38 UTC 2025","","","",""
"","1","renders multiple children","MarkDocReactRenderer","Tue Oct 14 14:01:26 UTC 2025","passed","Tue Oct 14 14:01:26 UTC 2025","","","",""
"","1","accepts valid props and returns a string","StudioCMSImageService","Tue Oct 14 14:01:22 UTC 2025","passed","Tue Oct 14 14:01:22 UTC 2025","","","",""
"","1","should call the handler with the context and return its response","Api-Route Tests","Tue Oct 14 14:01:00 UTC 2025","passed","Tue Oct 14 14:01:00 UTC 2025","","createEffectAPIRoute tests","",""
"","1","removes defaultContent and multiLangContent from array","convertCombinedPageDataToMetaOnly","Tue Oct 14 14:01:05 UTC 2025","passed","Tue Oct 14 14:01:05 UTC 2025","","","",""
"","0","should have ""custom"" image with format ""web"" and null light/dark","validImages","Tue Oct 14 14:01:38 UTC 2025","passed","Tue Oct 14 14:01:38 UTC 2025","","","",""
"","0","should default allowedOrigins to *","response-helpers","Tue Oct 14 14:01:12 UTC 2025","passed","Tue Oct 14 14:01:12 UTC 2025","","OptionsResponse","",""
"","8","render component","Virtual Components Container tests","Tue Oct 14 14:01:34 UTC 2025","passed","Tue Oct 14 14:01:34 UTC 2025","","FormattedDate component","",""
"","29","Navigation renders correctly","Navigation component","Tue Oct 14 14:01:45 UTC 2025","passed","Tue Oct 14 14:01:45 UTC 2025","","","",""
"","11","should return null result and error for rejecting async function","tryCatch","Tue Oct 14 14:01:01 UTC 2025","passed","Tue Oct 14 14:01:01 UTC 2025","","with asynchronous functions","",""
"","1","should resolve plain built-in modules","nodeNamespaceBuiltinsAstro","Tue Oct 14 14:01:31 UTC 2025","passed","Tue Oct 14 14:01:31 UTC 2025","","resolveBuiltIns","",""
"","1","decodes numeric HTML entities","decodeHTML","Tue Oct 14 14:01:22 UTC 2025","passed","Tue Oct 14 14:01:22 UTC 2025","","","",""
"","0","throws if userAgent missing","generateContent","Tue Oct 14 14:01:03 UTC 2025","passed","Tue Oct 14 14:01:03 UTC 2025","","","",""
"","3","testToken throws on invalid token","SDKCore_Generators","Tue Oct 14 14:01:33 UTC 2025","passed","Tue Oct 14 14:01:33 UTC 2025","","","",""
"","2","should parse a valid route summary row","RouteSummaryRowSchema","Tue Oct 14 14:01:21 UTC 2025","passed","Tue Oct 14 14:01:21 UTC 2025","","","",""
"","0","should strip leading slash from path","pathGenerator utilities","Tue Oct 14 14:01:21 UTC 2025","passed","Tue Oct 14 14:01:21 UTC 2025","","pathWithBase","",""
"","0","should reject invalid types","WordPress API Configs","Tue Oct 14 14:00:58 UTC 2025","passed","Tue Oct 14 14:00:58 UTC 2025","","APIEndpointConfig","",""
"","0","returns NaN if no INP values","webVitalsUtils","Tue Oct 14 14:01:00 UTC 2025","passed","Tue Oct 14 14:01:00 UTC 2025","","inpDataAverage","",""
"","1","should transform object config to object format","schema","Tue Oct 14 14:01:17 UTC 2025","passed","Tue Oct 14 14:01:17 UTC 2025","","AppsConfigSchema","",""
"","0","logs and throws error for type true","throwMsg","Tue Oct 14 14:01:03 UTC 2025","passed","Tue Oct 14 14:01:03 UTC 2025","","","",""
"","1","should maintain reference consistency","shared module","Tue Oct 14 14:01:18 UTC 2025","passed","Tue Oct 14 14:01:18 UTC 2025","","shared object","",""
"","6","merges two simple objects","deepmerge test","Tue Oct 14 14:01:23 UTC 2025","passed","Tue Oct 14 14:01:23 UTC 2025","","deepmerge utility","",""
"","1","should create valid config options with brand","Scrypt Module","Tue Oct 14 14:01:00 UTC 2025","passed","Tue Oct 14 14:01:00 UTC 2025","","ScryptConfigOptions","",""
"","0","returns fallback if both hero and site defaultOgImage are whitespace","heroHelper tests","Tue Oct 14 14:01:20 UTC 2025","passed","Tue Oct 14 14:01:20 UTC 2025","getHeroImage","trimInput","",""
"","2","StudioCMSRoutes.mainLinks contains expected keys","routeMap","Tue Oct 14 14:01:07 UTC 2025","passed","Tue Oct 14 14:01:07 UTC 2025","","","",""
"","2","should set the tag and cause","LibSQLClientError","Tue Oct 14 14:01:15 UTC 2025","passed","Tue Oct 14 14:01:15 UTC 2025","","","",""
"","0","should transform rating end 0 to false","MetricSummaryRowSchema","Tue Oct 14 14:01:21 UTC 2025","passed","Tue Oct 14 14:01:21 UTC 2025","","","",""
"","5","should handle null/undefined plugin configurations","renderMDX","Tue Oct 14 14:00:55 UTC 2025","passed","Tue Oct 14 14:00:55 UTC 2025","","Edge cases","",""
"","0","should have correct plugin name","@studiocms/github","Tue Oct 14 14:01:08 UTC 2025","passed","Tue Oct 14 14:01:08 UTC 2025","","plugin structure","",""
"","0","supports DecodingMode.Legacy by default","decodeHTML","Tue Oct 14 14:01:22 UTC 2025","passed","Tue Oct 14 14:01:22 UTC 2025","","","",""
"","2","should handle complex JSX with nested components","renderMDX","Tue Oct 14 14:00:55 UTC 2025","passed","Tue Oct 14 14:00:55 UTC 2025","","Edge cases","",""
"","0","should configure Discord as OAuth provider","@studiocms/discord","Tue Oct 14 14:01:08 UTC 2025","passed","Tue Oct 14 14:01:08 UTC 2025","","OAuth provider configuration","",""
"","0","returns export statement with empty string comp","rendererComponentFilter","Tue Oct 14 14:01:33 UTC 2025","passed","Tue Oct 14 14:01:33 UTC 2025","","","",""
"","4","Editor with empty content","Editor component","Tue Oct 14 14:01:06 UTC 2025","passed","Tue Oct 14 14:01:06 UTC 2025","","","",""
"","0","should provide default empty object when empty object provided","HTMLSchema","Tue Oct 14 14:01:27 UTC 2025","passed","Tue Oct 14 14:01:27 UTC 2025","","default values","",""
"","0","falls back to default language if translation missing","i18n/server","Tue Oct 14 14:01:24 UTC 2025","passed","Tue Oct 14 14:01:24 UTC 2025","","useTranslations","",""
"","0","parseFormDataEntryToString: should return null for non-string value","API Context Utils","Tue Oct 14 14:01:13 UTC 2025","passed","Tue Oct 14 14:01:13 UTC 2025","","","",""
"","1","deleteSessionTokenCookie sets cookie with empty value and maxAge 0","Session Module","Tue Oct 14 14:01:12 UTC 2025","passed","Tue Oct 14 14:01:12 UTC 2025","","","",""
"","0","should not add items to any array if name does not match collect","buildDataObject","Tue Oct 14 14:01:17 UTC 2025","passed","Tue Oct 14 14:01:17 UTC 2025","","","",""
"","1","renderMarkDoc with react-static renderer","MarkDoc Render Library","Tue Oct 14 14:00:58 UTC 2025","passed","Tue Oct 14 14:00:58 UTC 2025","","","",""
"","0","should have no required dependencies","@studiocms/github","Tue Oct 14 14:01:08 UTC 2025","passed","Tue Oct 14 14:01:08 UTC 2025","","plugin structure","",""
"","0","defaults cacheConfig properties","ProcessedSDKSchema","Tue Oct 14 14:01:16 UTC 2025","passed","Tue Oct 14 14:01:16 UTC 2025","","","",""
"","27","Renderer with valid Markdoc content","MarkDoc Renderer component","Tue Oct 14 14:01:03 UTC 2025","passed","Tue Oct 14 14:01:03 UTC 2025","","","",""
"","5","should create a plugin with default options","studiocms/blog","Tue Oct 14 14:01:26 UTC 2025","passed","Tue Oct 14 14:01:26 UTC 2025","","plugin creation","",""
"","0","should create layer with makeLayer","WordPress API Configs","Tue Oct 14 14:00:58 UTC 2025","passed","Tue Oct 14 14:00:58 UTC 2025","","CategoryOrTagConfig","",""
"","1","should set type and cause correctly","SDKCoreError","Tue Oct 14 14:01:40 UTC 2025","passed","Tue Oct 14 14:01:40 UTC 2025","","","",""
"","1","should have the correct hooks defined","@studiocms/discord","Tue Oct 14 14:01:08 UTC 2025","passed","Tue Oct 14 14:01:08 UTC 2025","","hooks","",""
"","0","should be a string","FALLBACK_OG_IMAGE","Tue Oct 14 14:01:46 UTC 2025","passed","Tue Oct 14 14:01:46 UTC 2025","","","",""
"","30","should work with different scrypt parameters","Scrypt Module","Tue Oct 14 14:01:01 UTC 2025","passed","Tue Oct 14 14:01:01 UTC 2025","","Scrypt Service","",""
"","68","hashPassword produces a secure password string","Password Module","Tue Oct 14 14:01:30 UTC 2025","passed","Tue Oct 14 14:01:31 UTC 2025","","","",""
"","0","should create path builder function","pathGenerator utilities","Tue Oct 14 14:01:21 UTC 2025","passed","Tue Oct 14 14:01:21 UTC 2025","","pathGenerator","",""
"","13","handles undefined components","renderReact","Tue Oct 14 14:01:05 UTC 2025","passed","Tue Oct 14 14:01:05 UTC 2025","","","",""
"","0","throws for config.sitemap as number","generateSitemapContent","Tue Oct 14 14:01:03 UTC 2025","passed","Tue Oct 14 14:01:03 UTC 2025","","","",""
"","4","should call studiocms:astro:config hook with addIntegrations","studiocmsMDX","Tue Oct 14 14:00:57 UTC 2025","passed","Tue Oct 14 14:00:57 UTC 2025","","plugin hooks","",""
"","0","should handle empty string","pathGenerator utilities","Tue Oct 14 14:01:21 UTC 2025","passed","Tue Oct 14 14:01:21 UTC 2025","","stripTrailingSlash","",""
"","0","includes the provided link in the button and as plain text","userInvite template","Tue Oct 14 14:01:39 UTC 2025","passed","Tue Oct 14 14:01:39 UTC 2025","","","",""
"","1","should handle empty input","buildPerPageRouteDataObject","Tue Oct 14 14:01:11 UTC 2025","passed","Tue Oct 14 14:01:11 UTC 2025","","","",""
"","0","should include Discord SVG logo","@studiocms/discord","Tue Oct 14 14:01:08 UTC 2025","passed","Tue Oct 14 14:01:08 UTC 2025","","hooks","",""
"","0","renders null children","MarkDocReactRenderer","Tue Oct 14 14:01:26 UTC 2025","passed","Tue Oct 14 14:01:26 UTC 2025","","","",""
